person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,previous_loan_defaults_on_file,years_to_pay,loan_amount,monthly_payment
21.0,female,High School,15307.0,0,OWN,EDUCATION,13.61,0.2,3.0,No,28,278500,828
23.0,female,Associate,79183.0,0,RENT,EDUCATION,7.9,0.35,2.0,No,31,338500,909
26.0,male,Bachelor,102654.0,4,RENT,VENTURE,7.49,0.27,3.0,No,31,345000,927
26.0,male,Associate,15229.0,1,OWN,EDUCATION,7.51,0.4,3.0,No,28,299500,891
22.0,male,High School,106566.0,0,RENT,VENTURE,9.91,0.26,3.0,No,30,302000,838
21.0,female,Bachelor,15252.0,0,OWN,PERSONAL,13.48,0.28,4.0,No,32,331500,863
22.0,male,Bachelor,15432.0,3,OWN,DEBTCONSOLIDATION,7.14,0.31,2.0,No,29,300500,863
24.0,male,High School,100332.0,1,RENT,VENTURE,15.99,0.28,4.0,No,30,317000,880
26.0,male,Bachelor,15505.0,0,OWN,DEBTCONSOLIDATION,11.01,0.17,4.0,No,28,293500,873
22.0,male,Master,130852.0,0,RENT,EDUCATION,11.01,0.21,4.0,No,32,341500,889
24.0,female,Bachelor,83853.0,3,RENT,HOMEIMPROVEMENT,11.01,0.33,2.0,No,32,345000,898
21.0,female,Bachelor,15394.0,0,MORTGAGE,DEBTCONSOLIDATION,15.68,0.21,3.0,No,27,259000,799
22.0,female,Bachelor,85243.0,0,RENT,EDUCATION,13.06,0.32,3.0,No,29,291500,837
26.0,male,Associate,89074.0,4,RENT,VENTURE,15.62,0.3,2.0,No,30,334000,927
24.0,male,Master,100509.0,2,RENT,PERSONAL,13.49,0.27,2.0,No,31,336500,904
24.0,male,High School,88950.0,3,RENT,VENTURE,11.01,0.3,3.0,No,32,353000,919
23.0,female,High School,75894.0,1,RENT,MEDICAL,11.71,0.34,2.0,No,27,268000,827
22.0,male,Bachelor,73131.0,3,RENT,VENTURE,10.99,0.35,3.0,No,32,340500,886
25.0,male,Bachelor,266090.0,4,MORTGAGE,DEBTCONSOLIDATION,14.42,0.04,3.0,No,31,334500,899
23.0,male,Associate,100756.0,0,RENT,EDUCATION,10.99,0.25,3.0,No,32,344500,897
22.0,male,High School,16218.0,1,MORTGAGE,PERSONAL,5.42,0.12,4.0,No,30,307000,852
21.0,female,Bachelor,51922.0,3,RENT,EDUCATION,12.73,0.48,3.0,No,32,336500,876
24.0,male,Associate,50309.0,3,RENT,HOMEIMPROVEMENT,11.01,0.5,3.0,No,30,312500,868
25.0,male,High School,16378.0,0,OWN,DEBTCONSOLIDATION,12.87,0.18,4.0,No,29,301500,866
24.0,male,Bachelor,16572.0,0,MORTGAGE,HOMEIMPROVEMENT,9.91,0.22,3.0,No,29,294500,846
26.0,male,Associate,256862.0,2,MORTGAGE,EDUCATION,10.65,0.14,2.0,No,30,321500,893
24.0,male,High School,16470.0,2,MORTGAGE,DEBTCONSOLIDATION,11.83,0.27,4.0,No,30,321500,893
23.0,male,High School,16599.0,0,OWN,DEBTCONSOLIDATION,13.49,0.14,2.0,No,26,252500,809
22.0,male,Bachelor,51608.0,0,RENT,MEDICAL,14.59,0.48,2.0,No,29,296500,852
26.0,female,Master,58516.0,6,RENT,EDUCATION,9.64,0.43,4.0,No,31,343000,922
25.0,female,Associate,16395.0,4,OWN,MEDICAL,14.59,0.22,3.0,No,30,323000,897
22.0,female,Bachelor,16890.0,0,OWN,EDUCATION,11.01,0.28,3.0,No,31,322500,866
25.0,female,Associate,51747.0,3,RENT,EDUCATION,16.35,0.48,3.0,No,31,348500,936
21.0,male,High School,59864.0,0,RENT,EDUCATION,10.99,0.42,2.0,No,31,324000,870
22.0,male,Associate,60501.0,0,RENT,PERSONAL,11.83,0.41,3.0,No,32,343500,894
23.0,male,High School,60754.0,1,RENT,DEBTCONSOLIDATION,7.9,0.41,3.0,No,31,325000,873
25.0,male,Bachelor,60829.0,0,RENT,HOMEIMPROVEMENT,5.99,0.41,2.0,No,28,294000,875
24.0,male,Bachelor,53825.0,2,RENT,DEBTCONSOLIDATION,15.33,0.46,2.0,No,30,326000,905
23.0,male,High School,60801.0,0,RENT,VENTURE,11.83,0.41,4.0,No,31,329000,884
22.0,male,High School,60747.0,0,RENT,VENTURE,10.36,0.41,2.0,No,30,317000,880
22.0,female,High School,61029.0,0,RENT,VENTURE,12.23,0.41,3.0,No,30,311500,865
22.0,female,Associate,63236.0,0,RENT,EDUCATION,11.11,0.4,4.0,No,30,317500,881
23.0,female,Bachelor,17149.0,0,OWN,DEBTCONSOLIDATION,7.9,0.29,4.0,No,27,265500,819
23.0,male,High School,63497.0,0,RENT,PERSONAL,13.22,0.39,2.0,No,32,347500,904
26.0,female,Doctorate,56325.0,2,RENT,DEBTCONSOLIDATION,11.86,0.44,4.0,No,31,345000,927
22.0,male,Bachelor,64842.0,0,RENT,EDUCATION,13.43,0.39,4.0,No,29,287000,824
26.0,female,High School,57856.0,0,RENT,HOMEIMPROVEMENT,15.28,0.43,2.0,No,28,301000,895
23.0,male,Associate,57318.0,0,RENT,VENTURE,17.93,0.44,2.0,No,31,339500,912
21.0,male,Master,16664.0,0,OWN,VENTURE,12.98,0.27,4.0,No,30,300500,834
26.0,male,Bachelor,58602.0,8,RENT,VENTURE,18.43,0.43,2.0,No,28,297500,885
22.0,male,High School,67012.0,2,RENT,EDUCATION,11.01,0.37,4.0,No,31,326500,877
24.0,female,Master,66643.0,3,RENT,HOMEIMPROVEMENT,11.01,0.38,4.0,No,31,331500,891
23.0,male,Bachelor,66599.0,0,RENT,EDUCATION,11.36,0.38,3.0,No,31,326500,877
23.0,male,Associate,67212.0,2,RENT,EDUCATION,15.65,0.37,3.0,No,29,299000,859
24.0,female,High School,66918.0,1,RENT,PERSONAL,13.22,0.37,4.0,No,30,315000,875
26.0,male,Associate,68066.0,2,RENT,DEBTCONSOLIDATION,12.87,0.37,2.0,No,29,318500,915
23.0,male,Associate,229083.0,0,MORTGAGE,EDUCATION,17.58,0.1,3.0,No,30,319500,887
23.0,male,High School,17859.0,0,OWN,PERSONAL,17.04,0.43,4.0,No,30,313000,869
24.0,female,Associate,72608.0,3,RENT,PERSONAL,10.99,0.34,3.0,No,29,306000,879
24.0,male,Bachelor,73073.0,1,RENT,PERSONAL,11.11,0.34,3.0,No,30,314000,872
26.0,female,Master,65880.0,2,RENT,DEBTCONSOLIDATION,14.83,0.38,2.0,No,28,296000,880
23.0,male,High School,17755.0,1,OWN,DEBTCONSOLIDATION,11.01,0.23,3.0,No,29,290000,833
25.0,male,Bachelor,65742.0,3,RENT,HOMEIMPROVEMENT,16.82,0.38,4.0,No,31,336000,903
23.0,male,Bachelor,72713.0,0,RENT,PERSONAL,12.73,0.34,3.0,No,30,306500,851
23.0,male,High School,72627.0,3,RENT,PERSONAL,10.25,0.34,4.0,No,28,283000,842
21.0,male,Associate,72843.0,0,RENT,EDUCATION,10.99,0.34,4.0,No,33,359000,906
25.0,male,High School,75504.0,4,RENT,MEDICAL,12.73,0.33,2.0,No,25,242000,806
22.0,female,High School,68824.0,0,RENT,HOMEIMPROVEMENT,14.96,0.36,3.0,No,30,317000,880
24.0,male,Associate,80145.0,1,RENT,EDUCATION,9.91,0.31,2.0,No,30,318000,883
22.0,male,Master,80303.0,0,RENT,EDUCATION,13.06,0.31,3.0,No,28,277000,824
24.0,female,Master,72919.0,1,RENT,DEBTCONSOLIDATION,11.01,0.34,2.0,No,27,276500,853
21.0,male,Master,18008.0,0,OWN,HOMEIMPROVEMENT,11.01,0.17,4.0,No,31,317500,853
26.0,female,Associate,81238.0,3,RENT,PERSONAL,15.21,0.31,2.0,No,26,265500,850
23.0,male,High School,80868.0,1,RENT,EDUCATION,7.9,0.31,4.0,No,30,310500,862
24.0,male,Bachelor,81537.0,1,RENT,VENTURE,10.99,0.31,3.0,No,31,337000,905
24.0,female,Associate,82741.0,0,RENT,PERSONAL,14.09,0.3,3.0,No,31,344000,924
25.0,female,High School,83901.0,3,RENT,PERSONAL,17.49,0.3,2.0,No,28,298500,888
26.0,female,Associate,226744.0,0,MORTGAGE,VENTURE,17.74,0.09,2.0,No,29,310500,892
25.0,male,Bachelor,85284.0,3,RENT,EDUCATION,15.21,0.29,3.0,No,30,326500,906
22.0,female,Bachelor,18152.0,0,OWN,MEDICAL,10.99,0.22,3.0,No,29,292500,840
24.0,female,High School,84871.0,3,RENT,EDUCATION,11.86,0.29,4.0,No,28,284500,846
24.0,male,Bachelor,18294.0,2,OWN,PERSONAL,7.49,0.33,3.0,No,28,293500,873
24.0,male,Bachelor,68029.0,1,RENT,MEDICAL,16.49,0.37,4.0,No,30,315500,876
25.0,female,High School,80001.0,4,RENT,VENTURE,15.33,0.31,2.0,No,28,296000,880
26.0,female,High School,79875.0,6,RENT,HOMEIMPROVEMENT,11.58,0.31,4.0,No,31,339500,912
25.0,male,High School,18449.0,1,OWN,EDUCATION,5.79,0.29,2.0,No,30,322500,895
25.0,male,Associate,88153.0,0,RENT,MEDICAL,13.11,0.28,2.0,No,31,334500,899
23.0,female,Bachelor,90109.0,0,RENT,MEDICAL,10.36,0.28,3.0,No,31,326500,877
25.0,male,Bachelor,90938.0,1,RENT,DEBTCONSOLIDATION,10.36,0.27,2.0,No,28,288500,858
24.0,male,Bachelor,90938.0,0,RENT,EDUCATION,10.25,0.27,4.0,No,30,324000,900
22.0,male,Associate,86284.0,0,RENT,EDUCATION,15.95,0.29,4.0,No,31,324000,870
23.0,male,High School,94789.0,1,RENT,DEBTCONSOLIDATION,11.01,0.26,2.0,No,28,274000,815
23.0,female,Master,94780.0,0,RENT,VENTURE,10.62,0.26,3.0,No,31,333500,896
23.0,male,High School,95298.0,0,RENT,VENTURE,10.74,0.26,3.0,No,31,338000,908
24.0,female,High School,75240.0,1,RENT,MEDICAL,15.33,0.33,2.0,No,30,312500,868
23.0,female,High School,96143.0,1,RENT,VENTURE,15.21,0.26,2.0,No,30,321000,891
21.0,male,Bachelor,18064.0,0,OWN,VENTURE,14.72,0.35,2.0,No,29,290000,833
24.0,male,Associate,96627.0,2,RENT,PERSONAL,15.7,0.26,2.0,No,29,311000,893
24.0,male,Bachelor,96309.0,3,RENT,EDUCATION,13.35,0.26,4.0,No,28,290500,864
24.0,male,Master,96836.0,1,RENT,EDUCATION,6.62,0.26,2.0,No,28,291500,867
26.0,male,Bachelor,96947.0,4,RENT,DEBTCONSOLIDATION,13.61,0.26,4.0,No,30,322500,895
24.0,female,Associate,207712.0,0,MORTGAGE,DEBTCONSOLIDATION,13.47,0.1,4.0,No,28,291000,866
23.0,female,Bachelor,89818.0,0,RENT,DEBTCONSOLIDATION,16.35,0.28,4.0,No,31,337000,905
26.0,female,High School,90006.0,4,RENT,DEBTCONSOLIDATION,11.01,0.28,4.0,No,28,297500,885
25.0,female,High School,98704.0,6,RENT,DEBTCONSOLIDATION,7.29,0.25,3.0,No,28,298500,888
23.0,male,High School,98967.0,5,RENT,MEDICAL,11.36,0.25,3.0,No,28,283000,842
23.0,male,Master,18512.0,1,OWN,HOMEIMPROVEMENT,16.7,0.22,2.0,No,28,283000,842
25.0,female,High School,172215.0,5,MORTGAGE,MEDICAL,18.25,0.06,4.0,No,29,314000,902
23.0,male,Master,18831.0,0,MORTGAGE,DEBTCONSOLIDATION,11.01,0.32,4.0,No,31,333500,896
24.0,male,Bachelor,91184.0,1,RENT,VENTURE,14.7,0.27,3.0,No,31,334000,897
23.0,female,High School,91886.0,1,RENT,DEBTCONSOLIDATION,16.02,0.27,4.0,No,27,272000,839
23.0,male,Associate,80452.0,2,RENT,MEDICAL,15.37,0.31,2.0,No,32,349500,910
21.0,male,Associate,18916.0,0,OWN,HOMEIMPROVEMENT,7.9,0.33,2.0,No,30,307500,854
23.0,female,Master,19000.0,2,OWN,MEDICAL,11.01,0.24,4.0,No,31,323500,869
23.0,female,Master,94363.0,0,RENT,VENTURE,16.32,0.26,3.0,No,28,288000,857
25.0,male,Master,80570.0,3,RENT,MEDICAL,17.93,0.31,4.0,No,29,306000,879
24.0,female,Associate,95753.0,1,RENT,DEBTCONSOLIDATION,14.96,0.26,4.0,No,27,271000,836
23.0,female,High School,85787.0,0,RENT,MEDICAL,19.04,0.29,4.0,No,30,323000,897
25.0,female,Master,102114.0,7,RENT,DEBTCONSOLIDATION,15.95,0.24,3.0,No,30,318500,884
23.0,male,High School,19062.0,2,OWN,DEBTCONSOLIDATION,13.98,0.21,4.0,No,31,333500,896
23.0,female,Associate,18926.0,0,OWN,VENTURE,10.99,0.24,2.0,No,32,344000,895
22.0,male,Associate,106694.0,0,RENT,DEBTCONSOLIDATION,15.58,0.23,2.0,No,31,333500,896
25.0,male,Master,90718.0,4,RENT,MEDICAL,10.99,0.28,2.0,No,31,346000,930
25.0,male,Bachelor,106668.0,1,RENT,VENTURE,14.96,0.23,4.0,No,27,281000,867
26.0,male,High School,106419.0,5,RENT,VENTURE,15.65,0.23,3.0,No,30,324500,901
23.0,male,High School,19065.0,3,MORTGAGE,PERSONAL,13.47,0.19,4.0,No,27,270000,833
24.0,male,Associate,111673.0,4,RENT,HOMEIMPROVEMENT,16.77,0.22,4.0,No,29,300000,862
23.0,male,High School,112633.0,1,RENT,DEBTCONSOLIDATION,14.59,0.22,2.0,No,30,316500,879
25.0,female,Associate,195268.0,1,MORTGAGE,DEBTCONSOLIDATION,16.0,0.13,3.0,No,30,331000,919
21.0,male,Master,18773.0,0,OWN,HOMEIMPROVEMENT,11.54,0.17,3.0,No,32,343000,893
25.0,female,Bachelor,116439.0,2,RENT,HOMEIMPROVEMENT,15.68,0.21,4.0,No,28,297500,885
24.0,female,High School,118417.0,0,RENT,HOMEIMPROVEMENT,12.61,0.21,2.0,No,30,312500,868
23.0,female,Associate,19312.0,4,MORTGAGE,PERSONAL,8.49,0.14,3.0,No,31,330500,888
25.0,male,High School,192351.0,1,RENT,PERSONAL,17.27,0.16,4.0,No,28,288500,858
24.0,male,High School,190735.0,1,RENT,HOMEIMPROVEMENT,14.59,0.13,2.0,No,30,326500,906
24.0,male,Associate,100758.0,0,RENT,MEDICAL,11.01,0.25,2.0,No,30,317500,881
22.0,female,Master,18923.0,0,OWN,HOMEIMPROVEMENT,12.53,0.13,3.0,No,30,309000,858
25.0,female,Master,161894.0,0,RENT,MEDICAL,16.49,0.03,2.0,No,29,304500,875
22.0,female,High School,121617.0,2,RENT,DEBTCONSOLIDATION,14.96,0.21,2.0,No,30,314500,873
24.0,male,Master,110953.0,0,RENT,MEDICAL,15.33,0.23,2.0,No,31,331000,889
26.0,male,High School,130096.0,1,RENT,PERSONAL,15.05,0.19,3.0,No,29,318000,913
24.0,male,Associate,19677.0,3,OWN,HOMEIMPROVEMENT,6.39,0.17,4.0,No,30,318500,884
25.0,male,High School,19423.0,3,OWN,VENTURE,18.09,0.16,2.0,No,28,293000,872
22.0,female,Master,184800.0,1,MORTGAGE,DEBTCONSOLIDATION,15.62,0.13,2.0,No,32,335000,872
23.0,male,Associate,20044.0,3,OWN,MEDICAL,7.9,0.3,2.0,No,30,309000,858
23.0,male,Master,178660.0,2,RENT,DEBTCONSOLIDATION,14.93,0.14,3.0,No,29,295000,847
23.0,female,High School,20421.0,0,MORTGAGE,MEDICAL,12.84,0.27,4.0,No,29,293500,843
24.0,male,Master,20353.0,2,OWN,VENTURE,17.14,0.18,2.0,No,30,324000,900
22.0,male,Master,20297.0,0,MORTGAGE,VENTURE,7.14,0.27,3.0,No,32,343500,894
25.0,male,Associate,20221.0,5,OWN,PERSONAL,8.94,0.25,4.0,No,28,286000,851
23.0,male,Bachelor,20678.0,0,OWN,VENTURE,9.63,0.21,4.0,No,27,264000,814
25.0,female,High School,60742.0,3,RENT,PERSONAL,14.22,0.41,3.0,No,30,319000,886
23.0,female,High School,72805.0,2,RENT,DEBTCONSOLIDATION,9.33,0.34,3.0,No,31,327500,880
25.0,male,Master,152227.0,2,MORTGAGE,MEDICAL,14.09,0.07,4.0,No,30,319500,887
25.0,female,Bachelor,65399.0,0,RENT,PERSONAL,13.98,0.37,4.0,No,30,331500,920
23.0,female,High School,75928.0,4,RENT,EDUCATION,10.62,0.32,4.0,No,27,264000,814
24.0,male,Bachelor,21627.0,0,MORTGAGE,DEBTCONSOLIDATION,11.01,0.18,3.0,No,30,318000,883
25.0,male,High School,83235.0,3,RENT,PERSONAL,17.56,0.29,4.0,No,29,301500,866
26.0,male,High School,68297.0,3,RENT,MEDICAL,14.96,0.36,2.0,No,25,253500,845
22.0,male,Master,89977.0,3,RENT,DEBTCONSOLIDATION,15.65,0.27,2.0,No,32,346000,901
24.0,female,Associate,79510.0,2,RENT,MEDICAL,15.7,0.3,2.0,No,29,302000,867
26.0,female,Bachelor,94635.0,2,RENT,HOMEIMPROVEMENT,17.56,0.26,3.0,No,30,321500,893
22.0,male,Associate,21205.0,0,MORTGAGE,HOMEIMPROVEMENT,13.85,0.22,2.0,No,31,329000,884
21.0,male,High School,21363.0,2,MORTGAGE,VENTURE,10.39,0.28,4.0,No,32,335500,873
22.0,female,Bachelor,130762.0,3,RENT,HOMEIMPROVEMENT,14.96,0.18,3.0,No,32,341500,889
22.0,female,Bachelor,52596.0,0,RENT,DEBTCONSOLIDATION,13.85,0.46,3.0,No,32,346500,902
23.0,female,Bachelor,57326.0,2,RENT,VENTURE,11.58,0.42,4.0,No,29,301500,866
24.0,female,High School,58262.0,1,RENT,VENTURE,16.29,0.41,2.0,No,27,261000,805
26.0,female,High School,58620.0,4,RENT,MEDICAL,11.01,0.41,3.0,No,30,332000,922
21.0,female,Master,55113.0,0,RENT,EDUCATION,16.29,0.44,2.0,No,31,322500,866
25.0,male,Bachelor,63361.0,2,RENT,PERSONAL,10.74,0.38,2.0,No,28,296000,880
24.0,female,Bachelor,57356.0,3,RENT,PERSONAL,17.8,0.42,2.0,No,31,336000,903
22.0,female,High School,59680.0,0,RENT,MEDICAL,17.56,0.4,4.0,No,29,295000,847
26.0,female,Master,72720.0,2,RENT,PERSONAL,7.9,0.33,4.0,No,29,318000,913
25.0,female,High School,73024.0,5,RENT,PERSONAL,10.99,0.33,4.0,No,28,290000,863
22.0,male,Bachelor,73110.0,0,RENT,PERSONAL,7.29,0.33,3.0,No,32,337000,877
21.0,female,Associate,72902.0,0,RENT,MEDICAL,10.75,0.33,2.0,No,30,300500,834
26.0,female,High School,75416.0,4,RENT,DEBTCONSOLIDATION,7.9,0.32,3.0,No,29,310000,890
22.0,male,Master,75959.0,0,RENT,EDUCATION,14.84,0.32,2.0,No,31,321000,862
26.0,male,Associate,79222.0,7,RENT,DEBTCONSOLIDATION,11.01,0.3,2.0,No,29,308000,885
22.0,female,Associate,21824.0,0,MORTGAGE,EDUCATION,11.01,0.23,3.0,No,29,294000,844
23.0,male,High School,71875.0,1,RENT,DEBTCONSOLIDATION,19.69,0.33,2.0,No,29,292500,840
23.0,male,Bachelor,80313.0,1,RENT,VENTURE,11.01,0.3,4.0,No,30,316000,877
24.0,male,High School,72647.0,5,RENT,VENTURE,14.96,0.33,4.0,No,28,278000,827
25.0,male,Bachelor,80492.0,4,RENT,EDUCATION,6.99,0.3,3.0,No,29,301000,864
22.0,male,High School,75646.0,0,RENT,PERSONAL,16.45,0.32,4.0,No,31,319500,858
24.0,male,Associate,85223.0,3,RENT,EDUCATION,10.99,0.28,4.0,No,29,301500,866
23.0,male,Associate,89735.0,2,RENT,DEBTCONSOLIDATION,10.99,0.27,2.0,No,32,344500,897
22.0,male,High School,22364.0,4,OWN,PERSONAL,7.9,0.13,4.0,No,32,336000,875
22.0,female,Master,90780.0,2,RENT,EDUCATION,12.69,0.26,4.0,No,26,249500,799
24.0,male,Bachelor,90889.0,1,RENT,MEDICAL,10.37,0.26,3.0,No,30,321500,893
24.0,male,Bachelor,90911.0,2,RENT,HOMEIMPROVEMENT,11.01,0.26,3.0,No,29,294500,846
26.0,male,Master,83953.0,2,RENT,DEBTCONSOLIDATION,15.83,0.29,3.0,No,30,323000,897
23.0,male,Associate,94644.0,1,RENT,PERSONAL,13.92,0.25,3.0,No,30,306500,851
22.0,female,Associate,22867.0,3,OWN,HOMEIMPROVEMENT,7.49,0.15,4.0,No,31,323500,869
23.0,female,Master,22583.0,1,OWN,EDUCATION,5.99,0.18,2.0,No,30,322500,895
23.0,female,Bachelor,90900.0,0,RENT,PERSONAL,12.92,0.26,2.0,No,31,336000,903
22.0,male,Bachelor,100479.0,0,RENT,DEBTCONSOLIDATION,19.69,0.24,3.0,No,29,295000,847
21.0,female,Master,22882.0,0,OWN,HOMEIMPROVEMENT,14.54,0.21,4.0,No,32,337000,877
21.0,female,Bachelor,22392.0,0,OWN,EDUCATION,11.11,0.22,2.0,No,30,297000,825
24.0,male,Associate,22635.0,3,OWN,HOMEIMPROVEMENT,6.54,0.28,4.0,No,29,301000,864
22.0,female,Associate,118299.0,0,RENT,DEBTCONSOLIDATION,11.01,0.2,2.0,No,27,251500,776
26.0,female,Associate,125665.0,5,RENT,DEBTCONSOLIDATION,20.0,0.19,4.0,No,30,328500,912
26.0,male,Associate,130649.0,4,RENT,EDUCATION,20.0,0.18,3.0,No,31,339000,911
23.0,male,Bachelor,22957.0,1,MORTGAGE,MEDICAL,15.95,0.11,2.0,No,29,297000,853
23.0,male,Master,138731.0,0,RENT,MEDICAL,20.0,0.17,3.0,No,30,306500,851
23.0,male,Master,166378.0,0,RENT,DEBTCONSOLIDATION,16.0,0.14,2.0,No,33,357000,901
24.0,male,Associate,22684.0,0,OWN,PERSONAL,7.88,0.57,3.0,No,30,320000,888
21.0,male,Bachelor,22366.0,0,OWN,VENTURE,10.62,0.28,4.0,No,31,318500,856
26.0,male,Bachelor,178439.0,0,RENT,EDUCATION,18.3,0.13,2.0,No,29,307500,883
24.0,male,Associate,53633.0,4,RENT,HOMEIMPROVEMENT,11.01,0.45,2.0,No,31,339000,911
24.0,female,High School,67032.0,2,RENT,PERSONAL,11.89,0.35,3.0,No,30,312000,866
24.0,male,High School,22664.0,0,MORTGAGE,DEBTCONSOLIDATION,12.18,0.44,2.0,No,30,324500,901
23.0,female,Associate,91275.0,0,RENT,PERSONAL,14.5,0.26,4.0,No,30,306500,851
22.0,male,Bachelor,22564.0,1,OWN,MEDICAL,11.01,0.18,2.0,No,32,342000,890
22.0,male,Bachelor,22786.0,0,OWN,MEDICAL,15.31,0.24,2.0,No,31,323500,869
25.0,male,High School,22450.0,4,MORTGAGE,MEDICAL,11.01,0.18,3.0,No,28,290000,863
21.0,female,Bachelor,22666.0,0,OWN,VENTURE,11.01,0.15,2.0,No,31,315000,846
22.0,male,Bachelor,81701.0,1,RENT,VENTURE,7.49,0.29,2.0,No,29,294500,846
22.0,male,High School,52984.0,0,RENT,PERSONAL,11.01,0.43,3.0,No,30,310500,862
25.0,female,Master,68579.0,1,RENT,EDUCATION,11.01,0.34,2.0,No,30,332500,923
23.0,female,Bachelor,73014.0,0,RENT,VENTURE,12.18,0.32,4.0,No,31,334000,897
25.0,female,High School,76932.0,2,RENT,EDUCATION,9.91,0.3,3.0,No,29,302000,867
24.0,male,High School,78955.0,1,RENT,HOMEIMPROVEMENT,11.99,0.29,4.0,No,29,310000,890
